ds,y,yhat,lstm_pred,hybrid_pred
2010-12-02,47197.57,31714.35431772521,46192.49,38953.4221588626
2010-12-03,23876.63,23718.607027719823,47197.57,35458.08851385991
2010-12-05,31361.28,10147.590588232155,23876.63,17012.11029411608
2010-12-06,31009.33,23173.694389127726,31361.28,27267.487194563862
2010-12-07,53730.96,27142.44649908758,31009.33,29075.88824954379
2010-12-08,39094.2,24405.320295247504,53730.96,39068.14014762375
2010-12-09,38193.91,31658.49436522255,39094.2,35376.34718261127
2010-12-10,33488.38,23662.747075203617,38193.91,30928.32853760181
2010-12-12,17102.35,10091.73063570167,33488.38,21790.055317850834
2010-12-13,27578.34,23117.834436589874,17102.35,20110.092218294936
2010-12-14,29235.13,27086.58650398162,27578.34,27332.463251990812
2010-12-15,30251.47,24349.46025767186,29235.13,26792.295128835933
2010-12-16,48791.87,31602.634285069267,30251.47,30927.052142534634
2010-12-17,19966.36,23606.886952505294,48791.87,36199.37847625265
2010-12-19,7292.95,10035.870427919843,19966.36,15001.115213959922
2010-12-20,19599.06,23061.97418621942,7292.95,15177.46209310971
2010-12-21,15929.16,27030.726253680565,19599.06,23314.89312684028
2010-12-22,4886.52,24293.600007290315,15929.16,20111.380003645158
2010-12-23,5644.77,31546.774034667247,4886.52,18216.647017333624
2011-01-04,12105.11,26919.00574110932,5644.77,16281.88787055466
2011-01-05,28799.43,24181.879493856763,12105.11,18143.49474692838
2011-01-06,34343.79,31435.053520186597,28799.43,30117.241760093297
2011-01-07,23797.79,23439.30618661323,34343.79,28891.548093306614
2011-01-09,15590.68,9868.289660055496,23797.79,16833.03983002775
2011-01-10,15330.83,22894.393417381798,15590.68,19242.5367086909
2011-01-11,60243.73,26863.14548387396,15330.83,21096.98774193698
2011-01-12,17124.74,24126.019236534114,60243.73,42184.87461826706
2011-01-13,15159.46,31379.193262946268,17124.74,24251.966631473137
2011-01-14,39509.7,23383.445929370937,15159.46,19271.452964685468
2011-01-16,6976.39,9812.43010176973,39509.7,24661.065050884863
2011-01-17,16527.05,22838.534208668258,6976.39,14907.462104334129
2011-01-18,87559.21,26807.286624629804,16527.05,21667.1683123149
2011-01-19,21586.78,24070.160726818718,87559.21,55814.685363409364
2011-01-20,15197.08,31323.33510264483,21586.78,26455.057551322414
2011-01-21,24276.01,23327.58811860168,15197.08,19262.33405930084
2011-01-23,10306.1,9756.572291036098,24276.01,17016.291145518047
2011-01-24,17601.87,22782.67639780879,10306.1,16544.388198904395
2011-01-25,23994.38,26751.42881381104,17601.87,22176.64940690552
2011-01-26,17424.45,24014.30291603556,23994.38,24004.34145801778
2011-01-27,22050.49,31267.732118525128,17424.45,24346.091059262566
2011-01-28,17247.2,23272.23996120481,22050.49,22661.364980602404
2011-01-30,6542.61,9701.733786959903,17247.2,13474.466893479952
2011-01-31,18806.43,22728.092720470653,6542.61,14635.351360235327
2011-02-01,26358.7,26697.099963121324,18806.43,22751.764981560664
2011-02-02,17091.15,23960.228891990268,26358.7,25159.464445995134
2011-02-03,22171.9,31213.65809458185,17091.15,24152.404047290926
2011-02-04,18087.96,23218.165937147598,22171.9,22695.0329685738
2011-02-06,3439.67,9647.65976293258,18087.96,13867.80988146629
2011-02-07,23382.97,22674.01869643646,3439.67,13056.84434821823
2011-02-08,14153.34,26643.769301726512,23382.97,25013.369650863257
2011-02-09,11910.83,23907.641593297223,14153.34,19030.490796648613
2011-02-10,14155.36,31161.81415858528,11910.83,21536.32207929264
2011-02-11,18579.96,23167.065363839403,14155.36,18661.2126819197
2011-02-13,5645.4800000000005,9598.045914961978,18579.96,14089.002957480989
2011-02-14,22999.39,22625.148211135118,5645.4800000000005,14135.314105567559
2011-02-15,37750.62,26594.898816494562,22999.39,24797.14440824728
2011-02-16,23413.97,23858.771108048157,37750.62,30804.69555402408
2011-02-17,17659.64,31112.94367325946,23413.97,27263.45683662973
2011-02-18,14438.73,23118.613749527114,17659.64,20389.126874763555
2011-02-20,9437.8,9550.432042652652,14438.73,11994.581021326325
2011-02-21,32724.38,22577.953209759908,9437.8,16007.876604879953
2011-02-22,29116.63,26548.122686087703,32724.38,29636.251343043852
2011-02-23,19315.97,23812.413848653166,29116.63,26464.521924326582
2011-02-24,21463.94,31067.00528483733,19315.97,25191.487642418666
2011-02-25,18377.14,23072.67536113228,21463.94,22268.30768056614
2011-02-27,9382.710000000001,9504.49365426187,18377.14,13940.816827130935
2011-02-28,15026.68,22532.01482141199,9382.710000000001,15957.362410705995
2011-03-01,23621.59,26502.18429771137,15026.68,20764.432148855685
2011-03-02,18666.14,23772.66834534017,23621.59,23697.129172670087
2011-03-03,32818.19,31033.452666530684,18666.14,24849.79633326534
2011-03-04,17302.55,23045.31562785293,32818.19,27931.75281392647
2011-03-06,9951.67,9489.519691075448,17302.55,13396.034845537724
2011-03-07,20247.850000000002,22523.233743309298,9951.67,16237.451871654648
2011-03-08,22184.11,26499.596104621138,20247.850000000002,23373.723052310568
2011-03-09,20320.23,23770.080152124774,22184.11,22977.09507606239
2011-03-10,24429.77,31030.86447343549,20320.23,25675.547236717743
2011-03-11,20894.75,23042.7274347629,24429.77,23736.24871738145
2011-03-13,4117.22,9486.93149793921,20894.75,15190.840748969604
2011-03-14,25866.33,22530.536986621166,4117.22,13323.878493310584
